Cliente_ID,Nombre,Pais_Cliente,Ocupacion,Ingreso_Mensual,Nivel_Educativo,Genero,Edad,Estado_Civil,Canal_Adquisicion,Nivel_Satisfaccion,Fecha_Alta,Ciudad_Cliente,Telefono,Email
893584,Toni Smith,Ecuador,Independiente,3818.12,Básico,M,68,Divorciado,Campaña,Alto,2023-01-01,Port Richard,(525)140-5202x06228,eharrison@yahoo.com
978614,Robert Anderson,Chile,Estudiante,8797.68,Tecnólogo,M,43,Casado,Web,Bajo,2023-01-01,Lake Johnbury,(074)649-6862x2884,avilaheather@harvey.com
867282,Mr. Paul Wood,Brasil,Estudiante,8711.2,Tecnólogo,F,59,Unión Libre,Tienda,Bajo,2023-01-01,Kelleyside,+1-487-110-8795x5153,mackenzie67@gmail.com
288203,Stephen Anderson,Estados Unidos,Independiente,9980.24,Universitario,M,69,Casado,Referido,Bajo,2023-01-01,Loganbury,(370)057-9301x346,ygarcia@johnson.info
284653,Debra Beard DVM,Perú,Independiente,10729.94,Técnico,F,32,Unión Libre,Referido,Medio,2023-01-01,Taylorstad,1317842279,tbates@jacobs-ward.org
991096,Thomas Deleon,Argentina,Desempleado,4298.47,Básico,F,63,Divorciado,Web,Medio,2023-01-01,East Jasonfurt,001-394-565-4500x56497,franksarah@jimenez.net
353898,Nancy Monroe,Chile,Independiente,10551.84,Tecnólogo,M,21,Unión Libre,Tienda,Bajo,2023-01-02,Bowersland,885.931.8193,billjames@fisher.com
976107,Donna Perkins,Brasil,Estudiante,11813.01,Universitario,M,45,Divorciado,Web,Alto,2023-01-02,Cannonbury,001-771-778-0695x238,huntrichard@carey-taylor.com
668902,Jeffrey Martin,España,Independiente,7037.64,Básico,M,62,Casado,Campaña,Alto,2023-01-02,South Brandy,278-463-9134x1312,nicole22@hotmail.com
957613,Michael Rodriguez,Ecuador,Independiente,10378.47,Universitario,M,43,Soltero,Referido,Bajo,2023-01-02,East Wendy,+1-995-085-3539x696,dperry@warren-willis.com
430149,Todd Brown,Estados Unidos,Empleado,,Tecnólogo,F,56,Soltero,Referido,Alto,02/01/2023,Proctorborough,(351)933-7848x4561,claudiarojas@evans-farmer.com
596220,Stephanie Williams,Estados Unidos,Independiente,5165.2,Posgrado,F,46,Unión Libre,Web,Alto,2023-01-02,Benjaminburgh,878-589-9552,carlos84@gmail.com
394428,Katherine Miller,Chile,Estudiante,,Básico,F,25,Unión Libre,Web,Bajo,2023-01-02,New Morgan,178-395-0145x4278,garciasandra@smith.com
665860,Elizabeth Reilly,Brasil,Independiente,6419.83,,F,29,Soltero,Campaña,Medio,2023-01-02,Lake Barbara,001-991-809-3232x211,michelle26@morales.com
407635,Lauren Strong,Estados Unidos,Empleado,2556.23,Universitario,F,55,Soltero,Referido,Bajo,2023-01-02,Lake Daniel,4103755383,yleblanc@hotmail.com
728445,Brian Ferrell,Brasil,Independiente,9523.29,,M,71,Divorciado,Tienda,Alto,2023-01-02,South Daniel,+1-971-014-7382x170,michael88@hotmail.com
908132,Eugene Smith,Canadá,Empleado,3030.94,Universitario,M,69,Casado,Web,Medio,2023-01-02,Lake Morgan,001-447-416-5373,stuartmark@yahoo.com
447556,Cameron Warner,Colombia,Empleado,2169.89,Tecnólogo,F,42,Soltero,Web,Alto,2023-01-02,East Melinda,(296)033-8444,ynelson@gmail.com
498411,Katherine Pope,México,Independiente,9258.13,Tecnólogo,M,23,Casado,Web,Alto,2023-01-02,West Andreatown,(979)662-0016x767,michael85@garrett.com
986362,Bradley Lowery,Colombia,Empleado,10244.21,Tecnólogo,F,41,Casado,Referido,Bajo,2023-01-02,Vickiland,600.112.8189x0746,qwright@gonzalez-riddle.net
108315,Sandra Wolfe,Estados Unidos,Estudiante,2182.49,Básico,,60,Unión Libre,Web,Bajo,2023-01-02,Morrisonfort,878.384.8557x0762,kingjacob@gmail.com
370102,Kathryn Campbell,Brasil,Desempleado,8144.58,Técnico,F,57,Unión Libre,Campaña,Alto,2023-01-02,Johnsonburgh,664-297-8544x796,grant09@combs.org
196627,Russell Gates,Colombia,Desempleado,7120.1,Básico,F,72,Casado,Tienda,Medio,02/01/2023,Lake Hunterbury,500.456.7092x85908,ytucker@patterson.com
429498,Amy Hall,Argentina,Empleado,6820.64,Técnico,F,70,Unión Libre,Referido,Alto,2023-01-02,Ashleyside,+1-967-365-4897,fstafford@escobar.com
381532,Charles Vasquez,Estados Unidos,Desempleado,5085.11,Tecnólogo,F,23,Soltero,Tienda,Alto,2023-01-02,Abigailstad,498-633-2855x71800,nelsonkenneth@garner.net
363205,Lori Mack,Chile,Independiente,8479.76,Técnico,F,27,Casado,Campaña,Alto,2023-01-02,Robinsonchester,+1-212-082-4132,kevin24@yahoo.com
551530,Jesse Michael,México,Desempleado,9409.7,Técnico,,70,Divorciado,Tienda,Medio,2023-01-02,South Crystal,+1-952-998-3845x110,reidrussell@yahoo.com
684067,Brenda Porter,México,Desempleado,6920.16,Técnico,M,51,Casado,Campaña,Bajo,02/01/2023,Barrettburgh,+1-332-224-1865x33631,ronald05@norton-garcia.biz
472434,Joshua Black,Estados Unidos,Empleado,7247.23,Básico,F,65,Divorciado,Campaña,Bajo,02/01/2023,Collinsport,(386)514-9155x556,mark98@yahoo.com
730341,Melissa Gallagher,Brasil,Desempleado,11816.52,Tecnólogo,F,68,Casado,Referido,Bajo,02/01/2023,Cannonbury,214.908.9143x97755,turnerjames@harris.com
629476,Kylie Griffin,Ecuador,Empleado,1284.5,Posgrado,F,70,Casado,Campaña,Bajo,2023-01-03,Craigfort,888.183.9900,alexnorman@fritz.com
957657,Deborah Murphy,Colombia,Independiente,2588.91,Universitario,M,50,Unión Libre,Tienda,Alto,2023-01-03,West Steven,(649)978-5880,opowell@hotmail.com
262039,Sarah Ellis,Argentina,Independiente,8912.5,Posgrado,F,62,Unión Libre,Campaña,Alto,2023-01-03,South William,269-070-1636x7068,thomasfoster@allen.biz
155589,Kelly Gardner,Estados Unidos,Desempleado,5041.94,Básico,F,21,Casado,Web,Bajo,03/01/2023,Lake Julia,613-580-1228,joshuarodriguez@miller.com
765452,Jamie Herrera,México,Estudiante,4602.73,Universitario,M,49,Casado,Campaña,Medio,2023-01-03,Lake Julia,(234)544-0103x436,michelehoffman@gmail.com
466142,Jeremy Ellison,Argentina,Estudiante,9467.96,Posgrado,M,54,Unión Libre,Campaña,Alto,2023-01-03,Hawkinsland,+1-041-801-4282x85697,michael52@yahoo.com
853913,Robert Hoffman,Brasil,Empleado,4932.12,Universitario,,24,Casado,Campaña,Medio,03/01/2023,South Alexis,+1-576-215-7106,ybrown@hotmail.com
719624,Lisa Gilbert,Canadá,Estudiante,2667.95,Posgrado,M,71,Unión Libre,Campaña,Alto,03/01/2023,South Michael,+1-724-929-4562x14494,karen88@hotmail.com
780239,Craig Porter,Brasil,Independiente,2650.84,Tecnólogo,,34,Unión Libre,Web,Medio,03/01/2023,Craigport,001-636-517-7511,christinesullivan@hotmail.com
656340,Lance Powell,Chile,Estudiante,10703.48,Universitario,F,49,Unión Libre,Campaña,Bajo,2023-01-03,Fernandezview,430-552-1707x226,zachary21@evans.info
217659,Jessica Dennis,Ecuador,Empleado,5235.22,Universitario,F,61,Divorciado,Referido,Medio,2023-01-03,Proctorborough,(685)867-2612x26607,valerieburton@yahoo.com
503550,Madison Myers,España,Desempleado,10234.48,Universitario,F,40,Casado,Web,Alto,2023-01-03,Dustintown,715-948-3104,jennifer87@butler.biz
434304,George Clark,Chile,Independiente,8772.61,Universitario,M,52,Casado,Web,Medio,03/01/2023,East Sandra,305-442-3099x7268,jacksonnicholas@hotmail.com
822016,Heather White,Brasil,Desempleado,6617.74,Universitario,M,61,Divorciado,Web,Medio,2023-01-03,Jamesville,(706)334-0377x0720,luke19@yahoo.com
157489,Renee Ballard,México,Desempleado,2361.06,Técnico,M,61,Unión Libre,Web,Alto,03/01/2023,North David,(047)175-0644x102,williamsjames@yahoo.com
335111,Albert Cannon,Brasil,Desempleado,5900.71,Técnico,F,30,Divorciado,Web,Bajo,2023-01-03,Kelleyside,+1-274-488-4357x832,ramirezrobert@quinn.com
450482,Christopher Vang,España,Independiente,6618.28,Básico,,49,Casado,Referido,Medio,2023-01-03,Bowersland,451-030-5089,eugene26@hotmail.com
420073,Erin Vaughan,Chile,Desempleado,5023.5,Técnico,F,42,Unión Libre,Referido,Bajo,03/01/2023,Barrettburgh,(088)185-5459x2510,michaelsanchez@gmail.com
622542,Monica Ellis,Ecuador,Empleado,10859.96,Tecnólogo,F,67,Unión Libre,Tienda,Alto,2023-01-03,New Gloriaview,203.576.5905x4027,jeremy47@sheppard-hernandez.org
775515,Jared Gonzales,Perú,Empleado,,Básico,M,25,Unión Libre,Web,Alto,2023-01-03,West Lindsey,001-805-370-2669x045,catherine18@yahoo.com
121700,Joanna Abbott,Estados Unidos,Estudiante,946.06,Tecnólogo,F,36,Divorciado,Campaña,Medio,2023-01-03,Moranberg,001-105-865-9397,walkeraaron@yahoo.com
636883,Vanessa Romero,Ecuador,Estudiante,6791.81,Universitario,M,56,Casado,Web,Alto,2023-01-03,New Williamchester,816.292.4557x4630,michael35@marshall-dalton.com
420218,Kathryn Brown,Chile,Estudiante,,Tecnólogo,F,48,Casado,Campaña,Bajo,03/01/2023,Lake Amy,+1-339-226-1306x890,kinglaura@gmail.com
566333,Brandon Mcdonald,Brasil,Independiente,992.84,Universitario,F,32,Unión Libre,Tienda,Bajo,2023-01-03,Johnsonburgh,133.869.4846,jordandaniel@romero.com
721757,Ronald Robinson,Brasil,Desempleado,1678.14,Posgrado,M,55,Casado,Campaña,Bajo,2023-01-04,West Lindsey,001-977-473-0396x5155,jonesanna@rodriguez.org
913726,Dale Mcclure,España,Estudiante,2420.95,Básico,F,18,Soltero,Web,Medio,2023-01-04,Michellemouth,001-060-164-9251x543,jonesemily@yahoo.com
803190,James Moore,Ecuador,Independiente,7847.68,Tecnólogo,,49,Divorciado,Web,Bajo,2023-01-04,Russellfort,(310)592-9730x22957,rachel25@hotmail.com
997881,Richard Carson,Perú,Independiente,961.0,Posgrado,F,35,Soltero,Campaña,Bajo,2023-01-04,Lake Mark,852.471.8679,gloriaoliver@hotmail.com
193620,Adriana Rogers,Estados Unidos,Empleado,9021.25,Posgrado,F,20,Divorciado,Referido,Medio,2023-01-04,Jonesport,317.635.2702x5741,pyu@cox-day.biz
445058,Jennifer Walls,Perú,Estudiante,11980.9,Posgrado,,62,Divorciado,Tienda,Medio,2023-01-04,Anthonychester,+1-206-103-0533x0398,william27@gmail.com
220508,Paul Moreno,Brasil,Desempleado,9393.63,,M,56,Unión Libre,Tienda,Medio,04/01/2023,South Connormouth,302.285.6297,ipotts@yahoo.com
867296,Aaron Velazquez,México,Empleado,7453.11,Universitario,,72,Soltero,Tienda,Bajo,2023-01-04,Michelleborough,731-622-3344,elizabethbailey@gmail.com
272545,Alicia Perez,Ecuador,Independiente,5763.08,Universitario,F,70,Casado,Campaña,Bajo,2023-01-04,South Jamesbury,001-341-845-2131,richard95@hotmail.com
793591,Ms. Kristen Green,Canadá,Empleado,5327.83,Tecnólogo,F,22,Unión Libre,Tienda,Medio,2023-01-04,North Laura,4623691266,pedro32@yahoo.com
617205,Bethany Reese,México,Estudiante,5697.72,Básico,F,40,Casado,Referido,Alto,2023-01-04,Byrdbury,000.565.1987x44069,caleb24@nichols-stein.org
483745,John Fox,Perú,Estudiante,,,M,51,Divorciado,Referido,Bajo,2023-01-04,Port Richard,957.406.8842x795,murphyjessica@yahoo.com
893527,Kristen Kelley,Ecuador,Desempleado,10185.47,,F,58,Casado,Referido,Alto,2023-01-04,West Rodneyberg,114-528-6328x05441,theresa44@cordova.com
652255,Cynthia Johnson,Colombia,Estudiante,8905.77,Universitario,F,23,Casado,Tienda,Medio,2023-01-04,Lake Caitlinfurt,3656379912,vanessareyes@yahoo.com
851892,Erica Sanchez,Perú,Desempleado,998.18,Técnico,F,18,Divorciado,Tienda,Bajo,04/01/2023,Lopezmouth,(421)052-2121x4618,xmorales@harrison.info
307751,Nicholas Sanchez,Chile,Estudiante,7174.33,Universitario,F,36,Casado,Referido,Medio,2023-01-04,Jamesmouth,(849)624-1275x20429,codysanchez@ferguson-byrd.com
139817,Katherine Scott,Ecuador,Empleado,10516.35,Posgrado,,30,Casado,Tienda,Medio,04/01/2023,Claudiabury,101.721.6169x5349,christina33@gmail.com
811351,Angela Chambers,México,Independiente,1058.53,Básico,F,69,Casado,Tienda,Medio,2023-01-04,West Lindsey,(510)899-6270,courtneyhendrix@gmail.com
158411,Isaiah Randall,Estados Unidos,Independiente,11803.05,Posgrado,F,71,Divorciado,Web,Alto,04/01/2023,East Sandra,001-610-954-5778x3460,nholmes@cox.com
804835,James Bright,Brasil,Desempleado,6901.6,Posgrado,F,68,Unión Libre,Tienda,Alto,2023-01-04,Lake Cristianside,+1-554-503-5730x52353,padillaroberto@cohen.biz
390753,Anthony Hardy,Ecuador,Empleado,1699.03,Básico,M,37,Divorciado,Web,Alto,2023-01-04,North Davidmouth,0283131530,andreamccall@rodriguez-holland.com
522051,Raymond Johnson,Ecuador,Desempleado,8189.79,Tecnólogo,F,65,Divorciado,Tienda,Alto,2023-01-04,Danaborough,+1-917-916-4603,glassalison@hotmail.com
743617,Tony Fox,México,Empleado,11922.77,Posgrado,F,73,Casado,Campaña,Medio,04/01/2023,Archerburgh,465.973.0546,gcampbell@dickerson.net
162053,Tiffany Cole,Canadá,Desempleado,3438.86,Tecnólogo,F,46,Divorciado,Tienda,Bajo,2023-01-04,Port Brian,114-925-4094x30546,jcarroll@gmail.com
503270,Daniel Young,Perú,Independiente,3665.47,Posgrado,F,70,Divorciado,Tienda,Medio,2023-01-05,Lake Diana,819-146-2531x81259,jamesstewart@hotmail.com
262528,Karen Santiago,Chile,Estudiante,2589.84,Universitario,F,74,Soltero,Campaña,Medio,2023-01-05,North Daniel,180.386.8373x8330,robertperez@hotmail.com
186204,Adam Spears,México,Empleado,4986.72,Tecnólogo,F,57,Unión Libre,Tienda,Alto,2023-01-05,Walterview,(781)542-2180,carteryvonne@yahoo.com
295108,Eric Chen,Estados Unidos,Independiente,7825.1,Tecnólogo,F,52,Divorciado,Tienda,Medio,2023-01-05,Archerchester,917-467-1020,millereric@cooper.info
608849,Thomas Parrish,Canadá,Independiente,2042.42,Técnico,F,73,Soltero,Web,Bajo,2023-01-05,Dustintown,145.166.5352x4772,suzanne67@brown-jones.com
568987,Chad Sanchez,España,Estudiante,6802.63,Básico,F,72,Soltero,Referido,Medio,05/01/2023,Taylorstad,890.371.6465x5720,jessica75@yahoo.com
191761,Madison Walker,Colombia,Estudiante,2823.42,Básico,F,55,Casado,Referido,Bajo,2023-01-05,Christopherberg,(270)799-2209,jenna87@hotmail.com
291562,Oscar Miller,España,Empleado,2550.92,Posgrado,M,32,Divorciado,Web,Medio,2023-01-05,New Anthonymouth,598-050-9590x618,lopezamy@medina.biz
116684,Jenna Webb,México,Independiente,11358.7,Básico,,48,Soltero,Tienda,Bajo,05/01/2023,Lake Caitlinfurt,001-464-843-4513x7597,melinda04@crane.com
431540,Kristin Rich,Estados Unidos,Estudiante,10443.36,Universitario,F,57,Casado,Web,Bajo,2023-01-05,West Rodneyberg,(126)989-5119x0636,toddnelson@jones-edwards.com
939694,Christopher Miller,España,Empleado,6708.02,Básico,F,46,Soltero,Tienda,Alto,2023-01-05,Mcclainport,111-108-8826,laurenroth@donaldson-jones.com
989937,John Harding,Brasil,Empleado,10249.41,Tecnólogo,F,30,Unión Libre,Referido,Alto,05/01/2023,Port Amanda,+1-822-948-9038x0725,gregory72@chang.org
566471,Megan Edwards,Ecuador,Desempleado,8087.29,Básico,F,33,Unión Libre,Web,Bajo,05/01/2023,Travisville,(951)928-9673x96534,xpeters@ritter.org
289516,Gilbert Fowler,Estados Unidos,Estudiante,10051.42,Tecnólogo,F,28,Divorciado,Referido,Bajo,05/01/2023,Fernandezview,759-831-8578x06605,ruth32@gonzalez.com
425800,Christopher Avila,Argentina,Independiente,9607.05,,F,70,Unión Libre,Tienda,Alto,2023-01-05,Nicolestad,001-549-118-4067x192,lyonskim@vasquez.com
787202,Abigail Potter,España,Independiente,2105.59,Posgrado,M,45,Casado,Campaña,Medio,2023-01-05,Mendezberg,+1-536-318-7609x94958,david80@sullivan.info
388193,Cathy Warner,México,Estudiante,11737.8,Tecnólogo,M,65,Casado,Campaña,Alto,2023-01-05,Patriciaton,483-249-9929x82121,dcarter@cline.com
673225,Austin Romero,Colombia,Empleado,11835.11,Posgrado,M,41,Unión Libre,Tienda,Medio,2023-01-05,Bushstad,497.904.8284x9755,bullockalexa@gmail.com
247732,Dennis Miller,Argentina,Empleado,8497.72,Posgrado,F,57,Unión Libre,Referido,Bajo,2023-01-05,Taylorstad,001-200-801-7597x69168,kelliesuarez@gmail.com
479897,Michael Lewis,Argentina,Desempleado,8525.08,Tecnólogo,,54,Soltero,Campaña,Bajo,2023-01-05,North Elijahbury,+1-154-697-6595,jlivingston@gmail.com
141447,Mario Wilson,Chile,Independiente,11921.57,Universitario,F,42,Divorciado,Web,Bajo,2023-01-05,Cortezville,715.525.0543,michaelsmith@yahoo.com
482209,Matthew Roberts,Argentina,Empleado,4647.63,Universitario,M,36,Casado,Tienda,Alto,2023-01-05,Woodwardshire,679.392.6746x0424,egates@gmail.com
155015,James Wright,Ecuador,Independiente,10825.99,Básico,,39,Soltero,Tienda,Medio,05/01/2023,Claudiabury,234.201.2791x31473,ashleygoodman@gmail.com
286259,Edward Chaney,Perú,Independiente,925.75,,F,29,Unión Libre,Tienda,Medio,2023-01-05,Deleonmouth,592.677.6988x91418,cummingsnatasha@hotmail.com
995169,Rachel Price,Estados Unidos,Independiente,,Posgrado,F,53,Soltero,Tienda,Alto,2023-01-06,Port Richard,001-944-185-8310x5434,penningtoncraig@campbell.info
222098,Jeremy Olsen,Brasil,Empleado,3406.79,Universitario,F,19,Divorciado,Tienda,Bajo,2023-01-06,Mendezberg,331-655-6173x2206,eshepherd@gmail.com
570626,Robert Welch,Chile,Estudiante,6413.31,Posgrado,F,47,Divorciado,Campaña,Alto,2023-01-06,East Melinda,021.333.5587x1833,christina77@larson.net
146498,Ashley Oliver,Ecuador,Desempleado,7403.68,Posgrado,F,29,Casado,Campaña,Medio,2023-01-06,Dominiqueberg,(066)178-6381x96723,weaverwilliam@gmail.com
710293,Andrew Matthews,Brasil,Desempleado,9435.8,Básico,M,61,Unión Libre,Web,Alto,06/01/2023,Craigport,+1-947-012-8786x600,melanie83@gmail.com
946218,Sharon Carr,Ecuador,Estudiante,5753.8,Tecnólogo,F,24,Casado,Referido,Medio,2023-01-06,New Anthonymouth,+1-201-846-4270x3277,howardtimothy@butler.com
619881,Kimberly Cross,Brasil,Independiente,10132.23,Posgrado,F,32,Soltero,Web,Medio,06/01/2023,New Jeremy,0905674595,erikagonzalez@yahoo.com
984034,James Fisher,Brasil,Estudiante,1019.74,Básico,F,49,Unión Libre,Referido,Medio,06/01/2023,Abigailstad,(830)867-0866,jose58@ritter.biz
141018,Joshua Brown,Ecuador,Desempleado,3397.42,Posgrado,M,74,Casado,Tienda,Alto,2023-01-06,Fernandezview,884-427-2350x85522,lori63@boyd.com
999259,Adam Yang,España,Estudiante,1830.34,Posgrado,F,57,Unión Libre,Campaña,Alto,2023-01-06,Fernandezview,858-471-4625,randolphandrew@franklin-shah.org
469863,Natasha Hernandez,Chile,Empleado,2340.59,Posgrado,M,41,Divorciado,Campaña,Alto,2023-01-06,West Michelle,+1-005-298-6851x86490,kbeck@atkins-page.info
129864,Brittany Whitehead,España,Independiente,10954.4,Tecnólogo,M,33,Unión Libre,Tienda,Medio,2023-01-06,Fernandezview,912.098.2021x1720,williamsdominique@yahoo.com
510971,Susan Brown,Perú,Independiente,5878.87,Básico,M,53,Unión Libre,Referido,Bajo,2023-01-06,South Jamesbury,788-759-7273,davisalexander@gardner.com
756235,Anthony Dalton,Ecuador,Independiente,,Técnico,F,41,Unión Libre,Campaña,Medio,06/01/2023,Russellfort,436.258.8005,woodjohn@gmail.com
918910,Anthony Wilson,Brasil,Estudiante,7752.28,Posgrado,M,60,Casado,Web,Medio,2023-01-06,Morrisonfort,618-720-8413x370,evan92@gmail.com
417024,Angela Miller,Canadá,Desempleado,2344.14,Universitario,F,48,Casado,Referido,Alto,06/01/2023,East Mitchellshire,631.143.5783x32091,cynthiafields@carpenter.com
154297,Russell Brown,Ecuador,Independiente,7676.96,Básico,M,58,Soltero,Tienda,Alto,2023-01-06,Stephenburgh,001-116-032-4830,cwright@jenkins.org
865210,Kristina Moreno,Argentina,Empleado,11313.15,Tecnólogo,M,28,Casado,Web,Bajo,2023-01-06,Hollowayside,001-068-955-2804x89324,james95@yahoo.com
783223,Mike Sanders,Perú,Independiente,1545.33,Tecnólogo,F,57,Unión Libre,Referido,Alto,2023-01-06,North Brandon,(423)087-1796x263,myerskristine@gmail.com
921513,April Miller,Estados Unidos,Empleado,11485.95,Básico,F,26,Casado,Referido,Medio,2023-01-06,Andrewmouth,+1-915-296-1904x100,stevecruz@gmail.com
837613,Ashley Robinson,México,Independiente,4213.05,Tecnólogo,F,66,Divorciado,Web,Alto,2023-01-06,New Bobhaven,+1-968-375-9932,holly55@yahoo.com
183568,Megan Bowen,Ecuador,Desempleado,3179.6,Tecnólogo,F,56,Unión Libre,Campaña,Medio,2023-01-06,Port Jasontown,+1-597-840-8293,andrea16@allen-estes.com
985939,Lauren Jackson,Canadá,Desempleado,5263.49,Posgrado,M,66,Unión Libre,Campaña,Alto,06/01/2023,Hurleyfurt,+1-002-671-8337x3223,vboone@robles-diaz.com
287366,Paul Smith,México,Empleado,2718.53,Universitario,M,73,Divorciado,Campaña,Bajo,2023-01-06,Cortezville,(127)835-5612,stanleybowen@manning.biz
778049,Vincent Jenkins,Argentina,Independiente,8630.29,Tecnólogo,F,47,Unión Libre,Tienda,Medio,2023-01-07,West Rodneyberg,256.111.1311,stewartkim@hotmail.com
769287,Gary Moore,Chile,Desempleado,2213.79,Universitario,F,42,Casado,Campaña,Alto,2023-01-07,Lake Joshua,934-516-6892,jeremy11@gmail.com
349176,Lindsay Webb,Ecuador,Estudiante,7917.44,,F,32,Soltero,Referido,Bajo,2023-01-07,Jamesbury,+1-059-714-4956x01900,parkercharles@harrison.com
468676,Donald Jones,Brasil,Empleado,2437.7,Universitario,M,39,Casado,Tienda,Alto,07/01/2023,Craigfort,+1-564-020-3608,samuelschneider@hotmail.com
577915,Alyssa Holt,México,Desempleado,7581.31,Tecnólogo,M,41,Divorciado,Tienda,Medio,2023-01-07,South Deborahfurt,001-302-174-7173x9238,stevenbarron@gmail.com
178382,Scott Fernandez,Estados Unidos,Independiente,8753.17,Básico,F,61,Casado,Tienda,Medio,07/01/2023,South Melinda,794.954.9030x29542,lewisshannon@clark-woodward.com
568725,Joseph Carter,México,Independiente,9929.16,Tecnólogo,M,38,Divorciado,Tienda,Medio,2023-01-07,Ashleyburgh,2571028689,cody64@martin.biz
823653,Thomas Jones,Brasil,Estudiante,3708.01,Técnico,M,57,Casado,Campaña,Alto,2023-01-07,Craigport,217-554-2623,hwong@tucker.net
863791,Mr. Victor Jones,Canadá,Independiente,10427.12,Básico,M,64,Casado,Campaña,Alto,2023-01-07,West Steven,(151)560-5474,leslie00@hendricks.info
525621,Michelle Castro,España,Desempleado,9043.7,Universitario,F,50,Unión Libre,Tienda,Bajo,2023-01-07,Johnton,852-911-6771,aliciawillis@owens.com
654451,Mark Thomas,Argentina,Estudiante,9260.41,Básico,M,63,Casado,Campaña,Bajo,07/01/2023,Port Tina,8470983771,anthony60@hotmail.com
893511,Alan Wagner,Chile,Independiente,6051.68,Básico,M,44,Casado,Campaña,Medio,2023-01-07,Tammyland,416-960-7196x87273,paulabennett@zuniga-white.com
214697,Jennifer Moore,Colombia,Estudiante,1828.53,Técnico,,58,Divorciado,Tienda,Bajo,07/01/2023,Jonesport,+1-064-751-1965x862,nanderson@gmail.com
330941,Jacqueline Cruz,Perú,Estudiante,5220.56,Posgrado,F,62,Soltero,Tienda,Bajo,2023-01-07,Mclaughlinbury,001-039-957-1835x417,dale92@davila.com
621036,Pamela Morse,Canadá,Independiente,10968.66,Técnico,F,20,Unión Libre,Campaña,Bajo,2023-01-07,New Brandonmouth,001-309-968-7442x7010,davidcampbell@hotmail.com
761807,Sydney Brady,Estados Unidos,Desempleado,6368.7,Universitario,F,55,Unión Libre,Web,Bajo,2023-01-07,New Jeremy,317-543-2389,david35@gmail.com
